315 145 248 146 326 205 236 205 328 257 250 260 304 255 267 255 302 339 270 343 303 419 269 428 
315 145 248 146 326 204 237 205 330 257 251 260 305 252 267 254 302 339 270 343 303 419 269 427 
315 145 248 146 326 203 237 206 333 257 252 260 305 251 266 253 302 339 269 342 303 419 269 427 
315 145 248 147 327 203 241 208 339 257 261 260 304 247 265 249 302 338 267 340 303 418 269 426 
314 145 247 147 328 203 243 209 341 257 265 260 304 247 264 249 302 338 266 339 303 418 269 426 
313 145 247 148 327 203 244 210 339 257 268 260 304 247 264 249 302 338 266 339 303 418 269 426 
313 145 246 148 327 203 245 210 338 257 269 260 304 247 263 249 302 338 266 339 303 418 269 426 
312 145 246 148 326 203 245 210 333 257 270 260 304 247 263 249 302 338 266 339 302 418 269 426 
312 145 246 148 325 204 245 211 327 257 270 260 304 247 263 249 302 338 266 339 302 418 269 426 
312 145 245 148 325 204 245 211 321 256 270 260 304 247 263 249 302 338 266 339 302 418 269 426 
312 145 245 148 324 204 245 211 317 255 270 260 304 248 263 249 302 338 266 339 302 418 269 426 
311 145 244 148 324 204 245 211 314 253 270 260 304 248 263 249 302 339 266 339 302 418 269 426 
311 145 244 148 324 204 244 211 313 252 269 260 304 248 263 249 302 339 266 339 302 418 269 426 
311 145 244 148 324 204 244 211 313 252 269 260 304 249 263 250 302 339 266 340 302 418 269 426 
312 145 244 148 324 205 244 211 314 253 267 260 304 251 263 252 302 339 266 340 302 418 269 426 
312 145 244 148 324 205 243 211 315 253 265 260 304 252 263 253 302 339 266 340 302 418 269 426 
312 145 244 147 324 205 242 210 315 253 261 260 304 252 263 253 302 339 267 341 302 418 269 426 
312 144 244 147 324 204 240 209 319 253 258 260 304 252 263 253 302 339 268 341 302 418 269 425 
312 144 243 146 324 204 238 208 322 254 256 260 304 251 263 252 302 338 270 341 302 418 269 425 
312 144 243 146 324 204 234 207 325 254 253 259 303 250 263 252 301 337 271 340 302 417 269 425 
311 144 242 146 324 203 231 206 329 254 250 258 303 250 263 251 301 337 271 340 302 417 269 424 
311 143 241 146 324 202 229 206 331 254 247 257 303 249 263 251 301 337 271 340 302 417 269 424 
310 143 241 146 324 201 228 205 333 254 245 256 303 248 262 251 301 337 271 340 301 417 269 424 
309 144 240 146 324 201 226 204 333 256 243 256 303 248 262 251 309 336 271 341 301 416 269 424 
309 144 240 146 324 202 227 205 333 256 244 256 303 249 263 252 314 335 271 341 302 415 269 425 
